STT,	Mã hiệu,	Tên Dịch vụ,	ĐVT,	Giá Dịch vụ,	Giá BHYT 
55	MC82	Siêu âm Doppler mạch máu ổ bụng (động mạch chủ, mạc treo tràng trên, thân tạng…)	Lần	400,000	252,300
56	MC89	Siêu âm phần mềm	Lần	150,000	58,600
57	MC95	Siêu âm Doppler tử cung, buồng trứng qua đường âm đạo	Lần	400,000	252,300
58	MCA5	Siêu âm tuyến giáp	Lần	150,000	58,600
59	MCA6	Siêu âm các tuyến nước bọt (tuyến mang tai)	Lần	150,000	58,600
60	MCA7	Siêu âm tuyến vú hai bên	Lần	150,000	58,600
61	MCD0	Siêu âm thai (thai, nhau thai, nước ối)	Lần	200,000	58,600
62	MCF8	Siêu âm Doppler thai nhi (thai, nhau thai, dây rốn, động mạch tử cung) (song thai trở lên)	Lần	600,000	89,300
 	 	SIÊU ÂM TIM	 	 	 
63	MD18	Siêu âm Doppler tim thai (sàng lọc)	Lần	350,000	252,300
64	MD19	Siêu âm Doppler tim thai (song thai trở lên) (sàng lọc)	Lần	450,000	252,300
65	MD08	Siêu âm Doppler tim	Lần	280,000	252,300
 	 	X-QUANG	 	 	 
66	MAA4	Chụp X-quang bàn chân nghiêng số hóa 1 phim	Lần	100,000	73,300
67	MAA5	Chụp X-quang bàn chân thẳng số hóa 1 phim	Lần	100,000	73,300
68	MAA6	Chụp X-quang bàn chân thẳng-nghiêng số hóa 1 phim	Lần	130,000	73,300
69	MAB0	Chụp X-quang bản lề chẩm-cổ (C1-C2) T-N số hóa 1 phim	Lần	100,000	73,300
70	MAC7	Chụp X-quang Cẳng chân thẳng và nghiêng số hóa 1 phim	Lần	130,000	73,300
71	MAD1	Chụp X-quang Cổ chân thẳng-nghiêng số hóa 1 phim	Lần	130,000	73,300
72	MAD5	Chụp X-quang Cổ tay thẳng-nghiêng số hóa 1 phim	Lần	130,000	73,300
73	MAD6	Chụp X-quang Cột sống cổ (cúi - ngửa) số hóa 1 phim	Lần	130,000	130,000
74	MAE1	Chụp X-quang Cột sống ngực nghiêng số hóa 1 phim	Lần	100,000	73,300
75	MAE4	Chụp X-quang Cột sống thắt lưng (cúi - ngửa) số hóa 1 phim	Lần	130,000	73,300
76	MAE5	Chụp X-quang Cột sống thắt lưng T-N-Cúi số hóa 1 phim	Lần	180,000	73,300
77	MAE9	Chụp X-quang Cột sống thắt lưng-cùng T-N-C số hóa 1 phim	Lần	230,000	73,300
78	MAF0	Chụp X-quang Cung gò má số hóa 1 phim	Lần	100,000	73,300
79	MAF1	Chụp X-quang Dạ dày cản quang số hóa 1 phim	Lần	280,000	124,300
80	MAF5	Chụp X-quang đường rò cản quang số hóa 1 phim	Lần	880,000	446,800
81	MAG0	Chụp X-quang Hố yên thẳng (Worms-Bretton) số hóa 1 phim	Lần	100,000	73,300
82	MAG1	Chụp X-quang Hố yên thẳng-nghiêng số hóa 1 phim	Lần	130,000	73,300
83	MAG2	Chụp X-quang Khớp cùng-chậu thẳng số hóa 1 phim	Lần	130,000	130,000
84	MAG3	Chụp X-quang Khớp gối 1 bên (T-N -tiếp tuyến) số hóa 1 phim	Lần	220,000	73,300
85	MAG4	Chụp X-quang Khớp gối nghiêng số hóa 1 phim	Lần	100,000	73,300
86	MAG7	Chụp X-quang Khớp gối thẳng-nghiêng 2 bên số hóa 1 phim	Lần	270,000	73,300
87	MAH0	Chụp X-quang Khớp háng thẳng số hóa 1 phim	Lần	100,000	73,300
88	MAH3	Chụp X-quang Khớp khuỷu thẳng-nghiêng số hóa 1 phim	Lần	130,000	73,300
89	MAJ3	Chụp X-quang Ngón tay thẳng số hóa 1 phim	Lần	100,000	73,300
90	MAJ6	Chụp X-quang Ngực nghiêng số hóa 1 phim	Lần	100,000	73,300
91	MAJ7	Chụp X-quang Ngực thẳng số hóa 1 phim	Lần	100,000	73,300
92	MAJ9	Chụp X-quang Phổi đỉnh ưỡn (Apico) số hóa 1 phim	Lần	100,000	73,300
93	MAL2	Chụp X-quang Thực quản-dạ dày cản quang số hóa 1 phim	Lần	380,000	124,300
94	MAL3	Chụp X-quang Thực quản-dạ dày đối quang kép số hóa 1 phim	Lần	340,000	124,300
95	MAQ0	Chụp X-quang khớp gối nghiêng 1 bên (tư thế đứng) số hóa 1 phim	Lần	100,000	73,300
96	MAQ1	Chụp X-quang khớp gối thẳng 1 bên (tư thế đứng) số hóa 1 phim	Lần	100,000	73,300
97	MAQ4	Chụp X-quang khung đại tràng có dùng thuốc cản quang tan trong nước số hóa	Lần	1,700,000	304,800
98	MAR6	Chụp X-quang cột sống cổ nghiêng số hóa 1 phim (khảo sát tìm VA)	Lần	100,000	 
 	 	NỘI SOI	 	 	 
99	MB82	Nội soi can thiệp - cắt polyp ống tiêu hóa > 1cm hoặc nhiều polyp	Lần	2,000,000	1,743,100
100	MBB3	Nội soi thực quản - dạ dày - tá tràng có sinh thiết (ống mềm)	Lần	800,000	493,800
101	MBB4	Nội soi trực tràng ống mềm không sinh thiết (có thuốc)	Lần	550,000	215,200
102	MBB5	Nội soi trực tràng ống mềm không sinh thiết (không thuốc)	Lần	450,000	215,200
103	MBH6	Nội soi đại tràng cắt polyp ≤ 1 cm gây mê (có soi chẩn đoán)	Lần	3,400,000	1,108,300
104	MBI0	Nội soi đại tràng tiêm hoặc kẹp cầm máu gây mê (có soi chẩn đoán)	Lần	3,500,000	656,700
105	MBI1	Nội soi đại tràng tiêm hoặc kẹp cầm máu (có soi chẩn đoán)	Lần	2,300,000	656,700
106	MBI2	Nội soi dạ dày cắt polyp gây mê (có soi chẩn đoán)	Lần	3,500,000	1,108,300
107	MBI4	Nội soi dạ dày tiêm hoặc kẹp cầm máu gây mê (có soi chẩn đoán)	Lần	3,500,000	798,300
108	MBI8	Nội soi trực tràng cắt polyp (có soi chẩn đoán)	Lần	2,100,000	1,108,300
109	MBE0	Nội soi thực quản - dạ dày - tá tràng không sinh thiết (ống mềm, gây mê)	Lần	2,300,000	276,500
110	MBE1	Nội soi đại trực tràng toàn bộ ống mềm không sinh thiết (gây mê)	Lần	2,800,000	677,500
111	MBF1	Nội soi đại trực tràng ống mềm gây mê (có thuốc, có sinh thiết)	Lần	3,200,000	677,500
112	MBF2	Nội soi đại trực tràng ống mềm gây mê (không thuốc, không sinh thiết)	Lần	2,700,000	677,500
113	MBF3	Nội soi đại trực tràng ống mềm gây mê (không thuốc, có sinh thiết)	Lần	3,100,000	677,500
114	MBF4	Nội soi đại trực tràng toàn bộ ống mềm có sinh thiết (không thuốc)	Lần	1,100,000	468,800
115	MBF5	Nội soi đại trực tràng toàn bộ ống mềm không sinh thiết (không thuốc)	Lần	800,000	352,100
116	MBF7	Nội soi trực tràng ống mềm có sinh thiết (không thuốc)	Lần	700,000	323,500
117	MBF9	Nội soi can thiệp- cắt 01 polyp ống tiêu hóa < 1cm (gây mê)	Lần	3,000,000	1,108,300
118	MBG0	Nội soi can thiệp- cắt 01 polyp ống tiêu hóa > 1cm hoặc nhiều polyp (gây mê)	Lần	3,500,000	1,743,100
119	MBG3	Nội soi can thiệp- gắp giun, dị vật ống tiêu hóa (gây mê)	Lần	3,200,000	1,743,100
120	MB91	Nội soi thanh quản ống mềm lấy dị vật gây tê	Lần	2,200,000	943,600
121	MBA1	Nội soi đại trực tràng toàn bộ ống mềm không sinh thiết	Lần	900,000	352,100
 	 	SINH HÓA	 	 	 
122	MH42	A/G	Lần	47,000	 
123	MH45	Đo hoạt độ LDH ( Lactat dehydrogenase)	Lần	33,000	28,000
124	MH46	Định lượng Amoniac ( NH3)	Lần	76,500	76,500
125	MH47	Định lượng Calci ion hóa	Lần	43,000	16,800
126	MH51	Đo hoạt độ CK-MB (Isozym MB of Creatine kinase)	Lần	48,000	39,200
127	MH52	Định lượng IgG	Lần	65,600	65,600
128	MH26	Định lượng Glucose sau ăn 2 giờ	Lần	25,000	22,400
129	MH27	Streptococcus pyogenes ASO	Lần	55,000	45,500
130	MH28	Định lượng RF (Reumatoid Factor)	Lần	54,000	39,200
131	MH29	Định lượng IgA	Lần	65,600	65,600
132	MH49	Định lượng IgM	Lần	65,600	65,600
133	MH54	Định lượng Glucose (dịch)	Lần	25,000	13,400
134	MH57	Bilirubin toàn phần (dịch)	Lần	25,000	22,400
135	MH58	Amylase (dịch)	Lần	48,000	22,400
136	MH60	Đo hoạt độ LDH (dịch chọc dò)	Lần	33,000	28,000
137	MH62	Natri (dịch)	Lần	25,000	 
138	MH63	Định lượng Glucose dịch não tủy	Lần	25,000	13,400
139	MH64	Định lượng Protein dịch não tủy	Lần	25,000	11,200
140	MH65	Định lượng Clo (dịch)	Lần	26,000	23,400
141	MH67	Bilirubin liên hợp (dịch)	Lần	25,000	 
142	MH72	Định lượng Transferin	Lần	78,000	67,300
143	MH73	Định lượng Ure (dịch)	Lần	25,000	22,400
144	MH74	Định lượng Creatinin (dịch)	Lần	25,000	22,400
145	MH75	Calci (dịch)	Lần	25,000	 
146	MH11	Định lượng Triglycerid	Lần	32,000	28,000
147	MH13	Định lượng Bilirubin toàn phần	Lần	25,000	22,400
148	MH17	Đo hoạt độ AST (GOT)	Lần	32,000	22,400
149	MH21	Ion đồ (Na+, K+, Cl-, Ca)	Lần	85,000	30,200
150	MH77	Xét nghiệm Khí máu	Lần	248,000	224,400
151	MH78	Định lượng Cholesterol toàn phần (dịch chọc dò)	Lần	33,000	28,000
152	MH79	Định lượng Triglycerid (dịch chọc dò)	Lần	32,000	28,000
153	MH80	Albumin (dịch)	Lần	25,000	 
154	MH81	Định lượng Protein (dịch)	Lần	25,000	22,400
155	MH82	Định lượng Globulin [Máu]	Lần	44,000	22,400
156	MH90	pH	Lần	48,000	 
157	MHC5	Catecholamines máu (adrenaline (Epinephrine) + noradrenline (norepinephrine) + dopamine	Lần	855,000	 
158	MHC6	Ceton (keton) (Beta-Hydroxybutyric)/ máu	Lần	57,000	 
159	MH97	Định lượng CRP hs (C-Reactive Protein high sesitivity)	Lần	54,600	54,600
160	MH98	Đo hoạt độ Lipase	Lần	89,000	61,700
161	MH99	Định lượng Lactat (Acid Lactic) /máu	Lần	98,400	98,400
162	MHA0	Lactate /dịch (Lactic acid /dịch)	Lần	60,000	 
163	MHA8	Định lượng Beta 2 Microglobulin	Lần	129,000	78,500
164	MHB1	Định lượng Haptoglobin	Lần	251,000	100,900
165	MHB7	Định lượng Cystatine C	Lần	108,000	 
166	MH96	Phản ứng CRP	Lần	55,000	22,400
167	MH76	Kali (dịch)	Lần	25,000	 
168	MH04	Định lượng Ure	Lần	25,000	22,400
169	MH05	Định lượng Creatinin (máu)	Lần	25,000	22,400
170	MH09	Định lượng HDL-C (High density lipoprotein Cholesterol)	Lần	29,000	28,000
171	MH10	Định lượng LDL - C (Low density lipoprotein Cholesterol)	Lần	35,000	28,000
172	MH16	Đo hoạt độ Amylase	Lần	48,000	22,400
173	MH18	Đo hoạt độ ALT (GPT)	Lần	32,000	22,400
174	MH19	Đo hoạt độ ALP (Alkalin Phosphatase)	Lần	40,000	22,400
175	MH20	Đo hoạt độ GGT (Gama Glutamyl Transferase) [Máu]	Lần	32,000	20,000
176	MH22	Natri	Lần	25,000	 
177	MH23	Kali	Lần	25,000	 
178	MH24	Định lượng Clo	Lần	26,000	 
179	MH25	Định lượng Calci toàn phần	Lần	25,000	13,400
180	MH30	Định lượng Mg [Máu]	Lần	39,000	33,600
181	MH31	Định lượng sắt huyết thanh	Lần	39,000	33,600
182	MHB4	Nghiệm pháp dung nạp glucose đường uống (75g glucose) 3 mẫu cho người bệnh thai nghén	Lần	300,000	166,200
183	MHB8	Bicarbonat (HCO3-)	Lần	158,000	 
184	MHC3	Định lượng Fructosamin trong máu	Lần	200,000	95,300
185	MHB6	Định lượng Ethanol (cồn) (máu)	Lần	69,000	33,600
186	MH01	Định lượng Glucose	Lần	25,000	22,400
187	MH02	Định lượng Protein toàn phần	Lần	25,000	22,400
188	MH03	Định lượng Albumin	Lần	25,000	22,400
189	MH06	Định lượng Acid Uric	Lần	25,000	22,400
190	MH08	Định lượng Cholesterol toàn phần	Lần	33,000	28,000
191	MH15	Định lượng Bilirubin trực tiếp	Lần	25,000	22,400
192	MH95	Điện giải đồ (Na, K, Cl)	Lần	66,000	30,200
193	XN05	Định nhóm máu hệ ABO và Rh (D) (bằng phương pháp PHIẾN ĐÁ)	Lần	109,000	 
 	 	HUYẾT HỌC	 	 	 
194	MI29	Xét nghiệm hồng cầu lưới (bằng máy đếm laser)	Lần	51,000	43,500
195	MI35	Vi nấm nhuộm soi DNT	Lần	73,000	45,500
196	MI42	Huyết đồ (bằng máy đếm laser)	Lần	160,000	74,600
197	MI45	Định lượng D-Dimer	Lần	458,000	272,900
198	MI48	Xét nghiệm hòa hợp trong phát máu (Định nhóm máu hệ ABO, Rh (D), AHG bằng phương pháp Gelcard (Crossmatch))	Lần	188,000	42,100
199	MI49	Định nhóm máu hệ ABO thuận nghịch và Rh (D) (bằng phương pháp Gelcard)	Lần	199,000	93,300
200	MI50	Định lượng Protein C toàn phần (Protein C Antigen)	Lần	1,538,000	248,800
201	MI51	Định lượng Protein S toàn phần	Lần	1,549,000	248,800
202	MI52	Định lượng Antithrombin III	Lần	562,000	148,400
203	MI01	Tổng phân tích tế bào máu ngoại vi (bằng máy đếm laser)	Lần	85,000	49,700
204	MI54	Định lượng Anti Xa (LMWH)	Lần	618,000	272,900
205	MI55	Định lượng hoạt tính yếu tố V Leiden	Lần	747,000	 
206	MI56	Điện di huyết sắc tố (định lượng)	Lần	548,000	381,000
207	MI58	Điện di protein huyết thanh	Lần	444,000	400,300
208	MI68	Sàng lọc kháng thể bất thường (Kỹ thuật Scange/ Gelcard trên máy tự động)	Lần	260,000	260,000
209	MI03	Máu lắng (bằng máy tự động)	Lần	35,600	35,600
210	MI04	Tìm ký sinh trùng sốt rét trong máu (bằng phương pháp thủ công)	Lần	100,000	39,700
211	MI36	PT hỗn hợp (TQ hỗn hợp)	Lần	111,000	 
212	MI37	APTT hỗn hợp (TCK hỗn hợp)	Lần	130,000	 
 	 	MIỄN DỊCH	 	 	 
213	MJ57	Định lượng LH (Luteinizing Hormone)	Lần	162,000	84,100
214	MJ63	Định lượng CA 19 - 9 (Carbohydrate Antigen 19-9)	Lần	184,000	144,200
215	MJ64	HBc IgM miễn dịch tự động	Lần	166,000	123,400
216	MJ65	HAV IgM miễn dịch tự động	Lần	184,000	116,400
217	MJ66	HAV total miễn dịch tự động	Lần	161,000	110,800
218	MJ82	Rubella virus IgG miễn dịch tự động	Lần	123,000	123,000
219	MJA3	Định lượng CA 72 - 4 (Cancer Antigen 72- 4)	Lần	291,000	139,200
220	MJA6	Định lượng Anti - TPO (Anti- thyroid Peroxidase antibodies)	Lần	275,000	212,300
221	MJB0	CMV IgG miễn dịch tự động	Lần	244,000	123,400
222	MJB1	CMV IgM miễn dịch tự động	Lần	281,000	142,500
223	MJB2	EBV IgG miễn dịch tự động	Lần	227,000	201,800
224	MJB3	EBV IgM miễn dịch tự động	Lần	227,000	208,800
225	MJB7	Định lượng NSE (Neuron Specific Enolase)	Lần	297,000	200,300
226	MJG7	Định lượng AMH (Anti- Mullerian Hormone)	Lần	799,000	 
227	MJ51	Định lượng CA 15 - 3 (Cancer Antigen 15- 3)	Lần	206,000	156,200
228	MJ52	Định lượng CA 125 (cancer antigen 125)	Lần	219,000	144,200
229	MJ53	Định lượng bhCG (Beta human Chorionic Gonadotropins)	Lần	177,000	89,700
230	MJ58	Định lượng Estradiol	Lần	126,000	 
231	MJ59	Định lượng Progesteron	Lần	146,000	84,100
232	MJE0	Định lượng Tg (Thyroglobulin)	Lần	269,000	183,300
233	MJE1	Định lượng kháng thể kháng nhân (ANA) bằng máy tự động	Lần	296,000	296,000
234	MJE8	Double test (PAPPA, Free Beta hCG (FBC))	Lần	533,000	 
235	MJ02	HBsAg miễn dịch tự động	Lần	108,000	81,700
236	MJ03	HBsAb định lượng	Lần	145,000	126,400
237	MJ04	HBeAg miễn dịch tự động	Lần	144,000	104,400
238	MJ05	HBeAb miễn dịch tự động	Lần	109,000	104,400
239	MJ06	HBc total miễn dịch tự động	Lần	157,000	78,300
240	MJ07	HCV Ab miễn dịch tự động	Lần	161,000	130,500
241	MJ31	HIV Ab miễn dịch tự động	Lần	127,000	116,400
242	MJ40	Định lượng HbA1c	Lần	188,000	105,300
243	MJ47	Định lượng FT3 (Free Triiodothyronine)	Lần	105,000	67,300
244	MJ55	Định lượng Testosteron	Lần	126,000	97,500
245	MJJ7	Định lượng kháng thể kháng Cardiolipin IgM	Lần	200,000	200,000
246	MZ09	Test hơi thở C13 phát hiện VK H.pylori	Lần	828,000	 
 	 	NƯỚC TIỂU	 	 	 
247	MK15	Xét nghiệm tỷ trọng nước tiểu	Lần	17,000	 
248	MK30	Hình dạng HC trong nước tiểu	Lần	40,000	 
249	MK34	Cạo tìm nấm [Vi nấm soi tươi]	Lần	60,000	45,500
250	MK74	Định lượng Catecholamin (niệu)	Lần	805,000	436,800
251	MK36	Định lượng Protein (niệu 24h)	Lần	25,000	14,400
252	MK45	Định lượng Creatinin /niệu 24h	Lần	25,000	16,800
253	MK46	Ion đồ (Na+, K+, CL-, Ca) /niệu	Lần	86,000	30,200
254	MK47	Kali /niệu	Lần	25,000	 
255	MK48	Kali /niệu 24h	Lần	25,000	 
256	MK51	Natri /niệu	Lần	25,000	 
257	MK52	Natri /niệu 24h	Lần	25,000	 
258	MK53	Điện giải niệu (Na, K, Cl) niệu	Lần	66,000	30,200
259	MK54	Độ thanh thải Creatinine	Lần	59,000	 
260	MK56	Định lượng Ure /niệu	Lần	24,000	16,800
261	MK57	Định lượng Ure /niệu 24h	Lần	24,000	16,800
262	MK01	Tổng phân tích nước tiểu (Bằng máy tự động)	Lần	38,000	28,600
 	 	VI SINH	 	 	 
263	NZN1	Vi khuẩn nuôi cấy và định danh hệ thống tự động (dịch khớp)	Lần	530,000	325,200
264	NZP2	Mycobacterium tuberculosis định danh và kháng RMP Xpert	Lần	250,000	250,000
265	NZp3	Vi nấm soi tươi	Lần	100,000	45,500
266	NZL0	Vi khuẩn kháng thuốc định tính	Lần	270,000	213,800
267	NZG7	Vi khuẩn nhuộm soi (đàm)	Lần	100,000	74,200
268	NZG8	Vi khuẩn nhuộm soi (mủ)	Lần	100,000	74,200
269	NZH6	Vi khuẩn nhuộm soi (tinh dịch)	Lần	100,000	74,200
270	NZE6	Vi khuẩn nuôi cấy và định danh phương pháp thông thường	Lần	300,000	261,000
 	 	KÝ SINH TRÙNG	 	 	 
271	TR21	Toxocara (Giun đũa chó, mèo) Ab miễn dịch tự động [IgG]	Lần	306,000	306,000
272	TR22	Cysticercus cellulosae (Sán lợn) Ab miễn dịch tự động [IgG]	Lần	306,000	306,000
273	TR25	Fasciola (Sán lá gan lớn) Ab miễn dịch tự động [IgG]	Lần	200,000	194,700
274	TR26	Strongyloides stercoralis (Giun lươn) Ab miễn dịch tự động [IgG]	Lần	306,000	306,000
 	 	SINH HỌC PHÂN TỬ	 	 	 
275	MQ15	HBV genotype Real-time PCR	Lần	1,578,000	1,578,000
276	MQ16	Mycobacterium tuberculosis Real-time PCR /đàm	Lần	509,000	391,500
277	MQ25	HCV genotype Real-time PCR	Lần	1,578,000	1,578,000
278	MQ31	HBV đo tải lượng Real-time PCR	Lần	900,000	701,700
279	MQ35	HBV đo tải lượng hệ thống tự động	Lần	1,826,000	1,351,700
280	MQ38	Chlamydia Real-time PCR hệ thống tự động	Lần	1,557,000	771,700
281	MQ52	HSV Real-time PCR	Lần	748,000	748,000
282	MQ53	Định lượng HCV genotype giải trình tự gene	Lần	2,638,000	2,638,000
283	MQ40	Xét nghiệm đột biến gen EGFR [mẫu mô] (T790M)	Lần	6,049,000	5,651,100
284	MQ48	Helicobacter pylori PCR	Lần	748,000	748,000
285	MQ51	Xét nghiệm đột biến gen EGFR (máu) (T790M)	Lần	6,690,000	5,651,100
286	MQ65	Toxoplasma gondii Real-TM	Lần	592,000	 
 	 	XÉT NGHIỆM	 	 	 
287	TN17	Định nhóm máu tại giường (máu toàn phần, khối hồng cầu, khối bạch cầu)	Lần	60,000	24,800
288	TN11	Xét nghiệm đường máu mao mạch tại giường	Lần	40,000	16,000
289	TN18	Bilirubin định tính (Xét nghiệm nồng độ bilirubin qua da)	Lần	135,000	6,600
 	 	KHÁC	 	 	 
290	MZ01	Soi trực tiếp tìm HC, BC, KST trong phân	Lần	78,000	41,700
291	MZ02	Hồng cầu trong phân test nhanh	Lần	72,000	71,600
292	MZ03	Tinh trùng đồ (dịch)	Lần	64,000	 
293	MZ04	Soi + Nhuộm (dịch) (huyết trắng)	Lần	78,000	74,200
 	 	GIẢI PHẪU BỆNH	 	 	 
294	TPO5	Nhuộm hóa mô miễn dịch cho mỗi một dấu ấn (kháng thể SYNAPTOPHYSIN)	Lần	693,000	510,400
295	TPP1	Nhuộm hóa mô miễn dịch cho một dấu ấn (kháng thể PD-L1 (SP263))	Lần	1,984,000	510,400
296	TPP3	Nhuộm miễn dịch huỳnh quang trực tiếp phát hiện kháng nguyên (kháng thể: fibrinogen)	Lần	463,000	463,000
297	TPQ6	Nhuộm Giemsa trên mảnh cắt mô phát hiện HP	Lần	506,000	334,400
298	TPQ7	Nhuộm Gomori cho sợi võng (Nhuộm Reticulin)	Lần	524,000	434,200
299	TPZ3	Nhuộm PAS kết hợp xanh Alcian	Lần	479,000	479,000
300	TPZ4	Nhuộm aldehyde fuchsin cho sợi chun	Lần	431,000	431,000
301	TPZ5	Nhuộm Grocott (Nhuộm GMS)	Lần	339,000	 
302	TP0A	Xét nghiệm sinh thiết tức thì bằng cắt lạnh	Lần	1,244,000	633,700
